Column1;_8;_9
鰐[わに];この鰐の置物、邪魔なんだけど。;Cette statue d'alligator est gênante.
颯と[さっと];こぼれた ぎゅうにゅう を さっと ふきとった の;J'ai rapidement essuyé le lait renversé.
此れから[これから];これからはもっと 気[き]を 付[つ]けます。;Je vais être beaucoup plus prudent à partir de maintenant.
之[これ];これをください。;J'aurai ceci s'il vous plait.
此れ[これ];これをください。;Ceci s'il vous plait.
台詞[せりふ];こんな長い台詞、よく覚えられるわね。;Vous vous souvenez bien de ces longs discours.
山葵[わさび];さしみ に わさび は かかせません ね;Le wasabi est indispensable au sashimi.
略[ほぼ];しごと が ほぼ おわりました;Mon travail est presque terminé.
餅[もち];しょうがつ に は もち を たべます よ;Nous mangeons des gâteaux de riz pendant le Nouvel An.
益々[ますます];じょうきょう は ますます わるく なった ね;
逸れる[それる];すぐ話が脇道へ逸れてしまう。;La conversation a rapidement dévié.
喧しい[やかましい];すぴーかー の おと が やかましい な;Le son provenant du haut-parleur est trop fort.
折角[せっかく];せっかく きたん だから ゆっくり して いきなさい;Puisque tu as fait tout le chemin, pourquoi ne restes-tu pas un moment ?
痒い[かゆい];せなか が かゆい です;Mon dos me gratte.
そうですね;そうですね。。。;euh... voyons... eh bien... (pour réfléchir avant de répondre)
其処で[そこで];そこで 彼女[かのじょ]に 会[あ]えるといいと 思[おも]ったのですが。;J'avais espéré l'avoir rencontrée là-bas.
暫く[しばらく];そこでしばらく 休[やす]んでいます。;Je me repose là pendant un moment.
其処[そこ];そこに 座[すわ]ってください。;Asseyez vous là s'il vous plait.
既に[すでに];その こと は すでに みんな しって います;Tout le monde le sait déjà.
悪戯[いたずら];その 子[こ]は悪戯[いたずら]が 大[だい]好[す]きだ。;Ce gamin adore jouer des tours.
鞄[かばん];その 黒[くろ]い 鞄[かばん]は 僕[ぼく]のです。;La mallette noire est la mienne.
紛れ[まぐれ];そのクイズの答えが当たったのはただの紛れです。;C'est par hasard que j'ai pu répondre aux questions du quiz.
薔薇[ばら];そのバラはよい 香[かお]りを 発散[はっさん]した。;Les roses dégageaient une belle odeur.
甚だ[はなはだ];そのようなことが事実だとすれば、甚だ遺憾である。;Si ce genre de chose est vrai, je suis vraiment désolé.
鉢巻[はちまき];そのラーメン屋の店主は、いつも色あせた綿の鉢巻を絞めていました。;Le propriétaire de ce magasin de ramen portait toujours un bandeau en coton délavé.
終に[ついに];その仕事を終えるのは君の義務だ。;Il est de votre devoir de terminer ce travail.
海亀[うみがめ];その種の海亀は、絶滅の危機にあります。;Ce genre de tortue de mer est en danger d'extinction.
傍[そば];そば に いて ください;Restez avec moi.
癌[がん];そふ は がん で なくなりました;Mon grand-père est mort d'un cancer.
零す[こぼす];そふぁ に わいん を こぼした;J'ai renversé du vin sur le canapé.
其れから[それから];それから、お 茶[ちゃ]を 一[ひと]つとコーヒーを 一[ひと]つ。;Et puis, 1 thé et 1 café.
其れ[それ];それはとってもいい 話[はなし]だ。;Cela est une très bonne histoire.
所為[せい];それは実際君の所為である。;C'est en fait de votre faute.
事[こと];そんな 事[こと]をしてはいけません。;Ne faites pas une telle chose.
却って[かえって];そんなことをしたら、かえってよくないよ。;Si vous faites quelque chose comme ça, cela aura plutôt des résultats négatifs.
鼠[ねずみ];だいどころ に ねずみ が でた;Quand le chat est absent, les souris jouent.
鼾[いびき];ちち の いびき は おおきい ん だ;Mon père ronfle bruyamment.
団扇[うちわ];ちち は うちわ で あおいで いる の;Mon père s'évente avec un éventail en papier.
燕[つばめ];つばめ が とんで います ね;Les hirondelles volent.
為[ため];デザインの 勉強[べんきょう]の 為[ため]に 留学[りゅうがく]しました。;J'ai fait un programme d'échange à l'étranger pour étudier le design.
ぎゅうぎゅう;でんしゃ が ぎゅうぎゅう に こんで います ね;Le train est bondé.
如何して[どうして];どうして 泣[な]いているの。;Pourquoi es-tu en train de pleurer ?
括る[くくる];どうしてこの文章を括弧で括ったんですか？;Pourquoi avez-vous mis cette phrase entre parenthèses ?
何方も[どちらも];どちらも 本当[ほんとう]に 面白[おもしろ]い。;Les deux sont vraiment intéressants.
凡[ぼん];トムはよく凡ミスをする。;Tom fait souvent des erreurs d'inattention.
何故[なぜ];なぜ 来[こ]なかったの？;Pourquoi n'êtes vous pas venu ?
西瓜[すいか];なつ は すいか が おいしい|夏といえば西瓜ですよね。;La pastèque est délicieuse en été.|En parlant d'été, c'est une pastèque.
ようこそ;にっぽん へ ようこそ;Bienvenue au Japon.
熊之実[くまのみ];ニモやその家族は、隠熊之実という魚だよ。;Nemo et sa famille sont des poissons appelés clownfish.
瞼[まぶた];ねむくて まぶた が おもく なってきた 。;J'ai sommeil et mes paupières sont devenues lourdes.
蝿[はえ];はえ が うるさく とん でいる ね 。;Une mouche gênante vole.
馬鹿馬鹿しい[ばかばかしい];ばかばかしい えいが だ が おもしろかった;C'était un film absurde mais intéressant.
鋏[はさみ];はさみを 借[か]ります。;Je vais emprunter des ciseaux.
遥か[はるか];はるか むこう に もくてきち が みえて きた;Au loin, notre destination est apparue.
擦る[こする];ひえた て を こすって あたためた;J'ai réchauffé mes mains froides en les frottant.
凄く[すごく];ベトナムのコーヒー、凄く甘くて驚きました。;Le café vietnamien était très sucré. J'ai été surpris!
頑張れ[がんばれ];まあ、結果を気にせずに、頑張れよ！;Eh bien, ne vous inquiétez pas des résultats, faites de votre mieux !
鮪[まぐろ];まぐろ の さしみ を たべました;J'ai mangé du sashimi de thon.
寛ぐ[くつろぐ];まるで自分の家のように寛いでいました。;Je me suis détendu comme si c'était chez moi.
勿論[もちろん];もちろん 一緒[いっしょ]に 行[い]きます。;Bien sûr, je vais avec vous.
漸く[ようやく];ようやく ごーる が みえて きました;Enfin, on peut voir la ligne d'arrivée.
宜しく[よろしく];よろしく おねがい します;Mes meilleures salutations.
林檎[りんご];りんごを少し買ってください。;Veuillez acheter quelques pommes.
宜しい[よろしい];レポートは これで よろしいですか。;Est-ce que le rapport est bon comme ça ?
爽やか[さわやか];れもん の さわやか な かおり が した;Il y avait l'odeur fraîche du citron.
烏賊[いか];わたし は いか の さしみ が だいすき です;J'adore le sashimi de calmar.
饂飩[うどん];わたし は おひる に うどん を たべました;J'ai mangé des nouilles udon pour le lun
玉ねぎ[たまねぎ];わたし は たまねぎ が きらい です 。|玉ねぎをきっていたら、なみだが出てきた。;Je déteste les oignons.|Quand j'ai coupé les oignons, j'ai déchiré.
人参[にんじん];わたし は にんじん が きらい だ;Je déteste les carottes.
馬鹿[ばか];わたし は ばか だった;J'étais stupide.
丸ごと[まるごと];わたしは、そのうたを丸ごとあんきしています。;Je mémorise toute la chanson.
粁[キロメートル];七千キロメートル;7000 kilomètres
御数[おかず];今晩[こんばん]のおかずはもう 決[き]めてあります。;J'ai décidé quoi cuisiner pour le dîner.
今晩は[こんばんは];今晩は。こんな所で何してるの？;Bonsoir. Que fais-tu dans un endroit comme celui-ci ?
伊達[だて];伊達巻きはおせち料理の中で私が好きなものの一つです。;De tous les plats servis pendant le Nouvel An japonais, l'omelette roulée est ma préférée.
隼[はやぶさ];俺の一番好きなバイクは、スズキの隼です。;Ma moto préférée est la Suzuki Falcon.
丁度[ちょうど];値段[ねだん]はちょうど３ 万[まん] 円[えん]です。;Le prix est de 30 000 yens exactement.
僕[ぼく];僕[ぼく]は 学生[がくせい]です。;Je suis un étudiant. (Familier Masculin)
首になる[くびになる];先月、会社を首になりました。;J'ai été licencié de l'entreprise le mois dernier.
兎[うさぎ];兎を素手で捕まえるのは容易いことじゃない。;Attraper un lapin à mains nues n'est pas une mince affaire.
凄い[すごい];凄[すご]い 雨[あめ]になった。;C'est devenu une pluie incroyable.
御[ご];北海道の御出身ですよね。;Vous êtes d'Hokkaido, n'est-ce pas ?
呉れる[くれる];友達[ともだち]が 誕生[たんじょう] 日[び]プレゼントをくれた。;Mon ami m'a donné un cadeau d'anniversaire.
此方[こちら];受付[うけつけ]はこちらです。;La réception est par ici.
疎か[おろそか];基本を疎かにしてはいけません。;Il ne faut pas négliger les bases.
掛かる[かかる];壁[かべ]に 大[おお]きな 時計[とけい]が 掛[か]かっています。;Il y a une grosse horloge accrochée au mur.
其方[そちら];夕方[ゆうがた]そちらに 着[つ]きます。;J'arriverai par là dans la soirée.
片仮名[かたかな];外国[がいこく]の 単語[たんご]はカタカナで 書[か]きます。;Les mots étrangers sont écrits en katakana.
為に[ために];夜勤の為に寝ておきたかったが、電車の音がうるさすぎた為に眠れなかった。;Je voulais dormir pour être prêt pour mon quart de nuit, mais je ne pouvais pas car les trains étaient trop bruyants.
掛ける[かける];夫[おっと]の 服[ふく]をハンガーに 掛[か]けた。;J'ai mis les vêtements de mon mari sur un cintre.
諺[ことわざ];好きな諺は何ですか？;Quel est votre proverbe préféré ?
酷い[ひどい];妹[いもうと]とひどい 喧嘩[けんか]をした。;J'ai eu une affreuse dispute avec ma petite soeur.
謎々[なぞなぞ];子どもはみんな謎々遊びをするのが好きだろう。;Pratiquement tous les enfants aiment résoudre des énigmes, n'est-ce pas ?
阿呆[あほう];学生の頃は、いつも阿呆なことばかりしてたな。;Quand j'étais étudiant, je ne faisais que des bêtises.
